mz	Intensity	SN	Resolution
111.22038	825767		1301279
111.22721	822567		1124676
111.23369	820278		1241652
111.24031	843470		898403
111.24296	846310		1287138
111.30782	813364		1009291
111.31821	813476		1362308
111.31997	814476		1021969
111.34802	812659		1161449
111.35448	775795		834423
111.37464	833058		1345326
111.37514	835394		1108465
111.37531	929690		938925
111.38256	836034		1254570
111.39628	778498		1517209
111.40406	802121		964538
111.45804	795320		1013167
111.46356	836856		704613
111.47694	786267		797134
111.53037	838446		1400398
111.53268	857982		1347759
111.53332	835566		1094860
111.55767	885741		1043891
111.61416	971835		981819
111.61537	946043		1157195
111.63766	807435		1319837
111.64867	945978		1212476
111.67109	873354		924176
111.67494	782682		1380723
111.69731	796681		1173256
111.71628	995480		1018622
111.72459	784016		1079184
111.75803	831143		1172502
111.77165	837111		1025386
111.80042	781246		995463
111.81133	844438		1483432
111.81573	814517		724985
111.82122	798845		684077
111.82782	833685		1052338
111.83536	854997		1345830
111.90067	963483		813145
111.92069	814738		1265351
111.92868	791570		1203795
111.93341	903858		1153812
111.96184	830625		834878
111.99303	921280		837502
112.00084	835440		1080850
112.00172	877168		1530858
112.01111	841704		950932
112.01865	836224		1329739
112.02712	906527		1005192
112.0376	915743		1148294
112.04	844495		1285738
112.04705	816303		1161438
112.05332	831519		768865
112.05928	890959		1073144
112.05945	823767		825123
112.06221	847918		1200689
112.08764	829630		1360695
112.09292	780862		1498763
112.09445	795822		1086581
112.10033	796477		1123982
112.10834	1358829		1159176
112.11848	927421		1004473
112.12692	857933		1378733
112.14358	939548		1027035
112.16371	849116		1172299
112.1646	804244		947226
112.18078	786315		1067060
112.19102	804971		989933
112.22918	836346		1352742
112.24777	851465		665728
112.2506	774113		1027640
112.25686	782313		1204336
112.28358	795640		1222250
112.28801	821144		1218649
112.29759	814872		1247006
112.3152	794167		1104497
112.33307	812247		1169377
112.33672	785479		1172413
112.3407	841863		1297774
112.411	829381		1355223
112.43922	888228		1195553
112.47066	778987		960349
112.4753	798747		998468
112.47867	782835		1073853
112.50806	803786		726180
112.51283	842130		1054924
112.54638	812273		706179
112.58857	773903		1225885
112.59237	792879		1026711
112.61411	878607		1320953
112.62739	843230		915428
112.62892	822286		1097165
112.63403	853486		1055087
112.64031	837886		1007766
112.64404	876174		1316559
112.66	852045		1196994
112.66426	865517		968556
112.68165	776573		1106218
112.68215	801885		1040913
112.68354	793581		1267781
112.70718	810796		1126939
112.71791	807580		1214804
112.72145	853996		845345
112.74967	802379		1246045
112.75808	811219		781752
112.76935	794946		917866
112.79255	793898		1136743
112.79342	778810		1285650
112.81324	785225		1181617
112.82471	786057		821869
112.83352	787433		1215343
112.83369	796009		1364821
112.84639	893624		1063514
112.874	823311		696361
112.88426	780679		1395912
112.89596	817879		1178874
112.89779	811863		1297985
112.89938	792007		910410
112.90089	845431		1386638
112.93196	780182		1090804
112.9327	781718		1271718
112.95194	822725		1093939
112.98609	785364		884219
113.00104	913140		1075592
113.01006	883644		748063
113.01384	780388		798053
113.02853	821139		985008
113.03661	796131		1121594
113.06099	894690		1240157
113.06445	834338		1046354
113.06735	885762		1422067
113.09223	918033		1222393
113.10557	921729		1242823
113.10733	781889		1418395
