mz	Intensity	SN	Resolution
356.07342	10532082		296532
356.36106	5513494		252184
356.98932	6440294		283316
357.06685	18630000		310583
357.06911	3093360		288888
357.07283	2336624		309252
357.29875	2088333		374602
357.30005	16209293		272749
358.06645	4603374		329990
358.07014	1990126		407450
358.30343	3454476		320132
359.06369	1858156		390072
359.18891	6260348		332818
359.20651	2652798		272677
359.98792	8402658		274099
360.77164	2150213		398377
360.92701	1911641		333630
361.98602	2759648		310251
363.36256	1946256		295149
365.21672	4094334		302790
365.353	2576783		300246
367.33607	5425807		272263
369.12203	2669429		230531
369.30005	4018060		299361
369.35179	13740947		229859
369.37326	39488404		258259
369.3747	3419030		534247
370.21705	1938947		317784
370.35527	4309013		227850
370.37663	9759768		258225
371.10195	4683894		220321
371.27374	1985164		345742
372.10114	1934584		280436
372.77078	2071887		201869
373.20364	3328392		336293
374.7686	6915669		311331
375.19022	1942156		290912
375.31061	6497948		276019
376.22754	8933140		301652
376.7665	5635931		283840
377.2309	2077592		255034
377.32655	3163045		209419
377.3779	2251180		315928
378.76453	1835619		235003
379.3684	1873074		388891
381.3184	5437877		322088
381.34775	3676601		243266
381.35185	3718586		293149
383.331	3453633		250828
383.38881	12053193		237356
384.39208	2909007		301999
385.23641	1762752		246931
385.34672	7736271		276880
386.35055	1946710		271821
387.27465	6298835		292712
388.22761	2543955		339146
391.2515	4826861		334112
391.25276	1821421		402792
391.28444	5126898		216658
391.35719	1729275		347861
392.28825	2099066		354639
393.24795	3101693		319523
393.35174	6594572		293848
395.36592	6863136		474071
395.3674	48978208		254772
396.37083	15415722		256255
397.34685	2398769		217162
397.34978	4047409		342270
397.37437	2308148		292545
397.38157	2802229		499026
397.38316	15104566		268096
397.40269	1926200		342169
397.40455	19102264		253538
398.38633	4529857		207451
398.40604	1954499		383404
398.40796	5138116		275998
399.36223	3574600		290922
399.39905	2163533		337659
401.34157	3284059		263713
403.26323	3718504		283969
404.25884	6381044		287384
405.27929	5938819		274907
406.23841	2575627		251730
406.28279	1749265		339780
407.36733	3641258		293066
408.37087	1802297		250946
409.34681	4935876		250493
409.34993	2675396		230552
409.38316	7833801		260672
410.38638	2836824		303913
411.05639	17719736		255551
411.36235	40313316		249915
411.39884	120660456		237095
412.0599	2436679		310831
412.364	1929843		488741
412.36567	13406835		252797
412.40221	37585528		232922
413.05201	7994070		226619
413.37809	49062660		252308
413.40548	5653257		242130
413.93664	1787733		325436
414.38148	14672789		245502
415.03689	4236276		273226
415.30596	4443163		241509
415.35721	7466018		277104
415.38477	1995302		292394
415.3939	1811496		293289
416.05057	13182087		274985
416.36067	2790580		311874
418.04615	2138537		252686
418.04873	5496233		270770
423.25863	2016422		273445
423.32562	1903280		231746
423.36265	2560694		256752
424.42638	2764115		266244
425.23808	2928076		308669
425.34166	3690971		298043
425.37781	3902944		238339
425.43579	3066345		260517
427.25153	4007672		271153
427.35732	12557064		247216
427.39377	3027725		264583
428.36073	4638622		254937
429.0873	6355979		442645
429.08889	59321356		259664
429.37293	55209012		247429
430.08556	2145441		418878
430.08842	17779874		265488
430.09225	6409378		232858
430.37457	2374861		524299
430.37633	15699149		246409
431.084	1946936		470414
431.08578	11537720		256464
431.09151	2550073		285815
431.37975	2772325		300646
432.0854	2942416		221242
433.31068	3071626		238974
434.233	3308310		257977
434.2697	1980188		346218
436.39005	3618912		211424
439.35741	2150954		318753
441.26751	2474834		288702
441.33663	1924957		319832
441.37292	2389347		211672
443.35222	2676888		222440
445.12044	3322285		214123
445.32358	2154957		348056
445.36767	4146644		262378
447.29719	1888005		251695
450.40583	3090676		284068
451.45156	2288027		168752
452.42147	2042423		214066
452.45764	5132861		236642
465.30717	3410539		284777
467.11893	10158998		238838
469.11442	5035234		230531
470.28983	1799077		233806
472.11315	7034582		228691
473.11684	1912190		219307
473.35469	1831845		237377
474.1114	4005924		253049
475.34567	11659507		234586
475.45119	3784965		206167
476.34912	2626972		235484
479.48282	4597676		210913
480.48604	2369622		293617
489.05551	3120646		257646
493.33854	3174626		242877
493.49844	3610877		195102
495.47752	5424720		240712
501.46672	1998420		217919
503.10786	6007662		227176
503.47841	3478446		290126
503.48246	38394800		227175
504.10714	2817050		257353
504.4858	13372507		232480
505.48897	1973512		243277
505.49843	3021065		193962
506.46572	1782192		265509
507.51396	7720548		213121
508.51749	2296593		203377
513.48798	6406760		227425
514.49141	2302741		283042
515.40898	10650546		295422
515.41334	115729328		201123
516.41664	37135456		197703
517.40924	4803850		200169
517.42004	5346572		183819
518.4125	3166647		177421
519.47719	2541166		246928
519.51435	2076276		208708
521.45636	1864129		230632
521.49299	11950024		223307
521.52959	5472206		186543
522.49638	5269620		222220
522.53275	3652730		207655
523.50854	5916961		214511
524.51206	2545101		258647
525.46668	1833073		254764
527.39201	2112442		269195
527.48239	3792842		227450
528.48607	1760373		210316
